,h_mol,b_mol,ligand,reagent,solvent,rxn_yield
19,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[Na+].OC([O-])=O,MeCN,5.10255242912967
20,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[Na+].OC([O-])=O,MeCN,83.1906321409627
21,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[Na+].OC([O-])=O,MeCN,13.6803816727274
22,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[Na+].OC([O-])=O,MeCN,1.82471592243866
23,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[Na+].OC([O-])=O,MeCN,10.994082002904
24,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[F-].[Cs+],MeCN,1.78675303928125
25,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[F-].[Cs+],MeCN,4.35920116829955
26,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[F-].[Cs+],MeCN,2.70970319261194
27,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[F-].[Cs+],MeCN,6.48652823683892
28,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[F-].[Cs+],MeCN,2.10068590036068
29,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[F-].[Cs+],MeCN,3.32272956618858
30,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[F-].[Cs+],MeCN,68.4440016475539
31,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[F-].[Cs+],MeCN,5.83810017338261
32,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[F-].[Cs+],MeCN,73.0197105076637
33,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[F-].[Cs+],MeCN,13.1958561281243
34,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[F-].[Cs+],MeCN,2.10098201074023
35,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[F-].[Cs+],MeCN,10.218888659788
36,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,3.00400388935548
37,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,4.7313701172475
38,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,2.5779797728445
39,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,5.8267255162714
40,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,1.88178466778928
41,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,3.68610190848114
42,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,53.3442477399675
43,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,5.80499299101468
44,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,60.6695362355924
45,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,14.3933392770758
46,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,2.26866296700559
47,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[K+].[K+].[K+].[O-]P([O-])([O-])=O,MeCN,10.0003095895518
48,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[K+].[OH-],MeCN,5.5969019412474
49,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[K+].[OH-],MeCN,4.82196101450088
50,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[K+].[OH-],MeCN,2.48590898286748
51,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[K+].[OH-],MeCN,6.45624672939622
52,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[K+].[OH-],MeCN,2.05952841211658
53,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[K+].[OH-],MeCN,3.21864784308256
54,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[K+].[OH-],MeCN,78.4174228193668
55,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[K+].[OH-],MeCN,8.93977444085733
56,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[K+].[OH-],MeCN,92.2242386465952
57,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[K+].[OH-],MeCN,14.2206754932286
58,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[K+].[OH-],MeCN,2.3455596596732
59,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[K+].[OH-],MeCN,18.1597678162321
60,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[Li+].[O-]C(C)(C)C,MeCN,7.0788779533304
61,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[Li+].[O-]C(C)(C)C,MeCN,5.4483808696152
62,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[Li+].[O-]C(C)(C)C,MeCN,1.99054888114825
63,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[Li+].[O-]C(C)(C)C,MeCN,6.08313547812363
64,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[Li+].[O-]C(C)(C)C,MeCN,2.45280550760324
65,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[Li+].[O-]C(C)(C)C,MeCN,3.56636244233208
66,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[Li+].[O-]C(C)(C)C,MeCN,85.7734226150222
67,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[Li+].[O-]C(C)(C)C,MeCN,9.78109907191012
68,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[Li+].[O-]C(C)(C)C,MeCN,92.8344072930483
69,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[Li+].[O-]C(C)(C)C,MeCN,15.410461843799
70,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[Li+].[O-]C(C)(C)C,MeCN,2.42654830002009
71,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,[Li+].[O-]C(C)(C)C,MeCN,17.1759038844819
72,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,CCN(CC)CC,MeCN,7.82316946168684
73,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,CCN(CC)CC,MeCN,6.14029657993896
74,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,CCN(CC)CC,MeCN,2.13374309510393
75,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,CCN(CC)CC,MeCN,5.05213723181808
76,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,CCN(CC)CC,MeCN,1.98028622008522
77,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,CCN(CC)CC,MeCN,4.46807824701397
78,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,CCN(CC)CC,MeCN,78.957919561643
79,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],CCN(CC)CC,MeCN,6.99621084980946
80,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,CCN(CC)CC,MeCN,90.3017535211921
81,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],CCN(CC)CC,MeCN,15.3607442237364
82,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,CCN(CC)CC,MeCN,2.50927994144339
83,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,CCN(CC)CC,MeCN,19.5108844387778
84,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,O,MeCN,9.75908286686094
85,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,O,MeCN,4.15312486926772
86,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,O,MeCN,1.53223611769088
87,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,O,MeCN,5.79692311337673
88,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,O,MeCN,2.64661537803254
89,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,O,MeCN,4.42903768983828
90,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,O,MeCN,66.8041426775335
91,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],O,MeCN,6.42130859194569
92,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,O,MeCN,78.2264541946686
93,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],O,MeCN,13.9540113252438
94,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,O,MeCN,2.1103931503683
95,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC([O-])=O,O,MeCN,8.28740356846637
96,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C(C)(C)C)C(C)(C)C,[OH-].[Na+],THF,33.7884226000348
97,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,c3c(P(c1ccccc1)c2ccccc2)cccc3,[OH-].[Na+],THF,8.08389406174481
98,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C(C=C1)N(C)C)C(C)(C)C,[OH-].[Na+],THF,61.2000810462792
99,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1(CCCCC1)P(C2CCCCC2)C3CCCCC3,[OH-].[Na+],THF,69.9420492553848
100,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC1=CC=CC=C1P(C2=CC=CC=C2C)C3=CC=CC=C3C,[OH-].[Na+],THF,7.2041205533469
101,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CCCCP(C12CC3CC(C1)CC(C3)C2)C45CC6CC(C4)CC(C6)C5,[OH-].[Na+],THF,79.46758861973
102,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,COc1cccc(c1c2ccccc2P(C3CCCCC3)C4CCCCC4)OC,[OH-].[Na+],THF,87.0599138552419
103,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.CC(C)(C)P(C1=CC=C[CH]1)C(C)(C)C.[Fe],[OH-].[Na+],THF,12.7035086532037
104,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,P(c2ccccc2c1c(cc(cc1C(C)C)C(C)C)C(C)C)(C3CCCCC3)C4CCCCC4,[OH-].[Na+],THF,88.966679030845
105,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.C1=CC=C(C=C1)P([C-]2C=CC=C2)C3=CC=CC=C3.[Fe+2],[OH-].[Na+],THF,27.9254607314512
106,C1=C(Cl)C=CC2=NC=CC=C12,CC1=CC=C2C(C=NN2C3OCCCC3)=C1B(O)O,O6c1c(cccc1P(c2ccccc2)c3ccccc3)C(c7cccc(P(c4ccccc4)c5ccccc5)c67)(C)C,[OH-].[Na+],THF,6.1056671566937
