Unnamed: 0,Patent_ID,h_mol,b_mol,ligand,reagent,solvent,rxn_yield,mass_label
10,US05409920,Br[c:2]1[cH:3][n:4][cH:5][c:6]([Br:8])[cH:7]1,CCB(CC)[c:13]1[cH:12][n:11][cH:16][cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"[K+].[OH-],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CCOC(C)=O,33.0,1
11,US05444050,Br[c:2]1[cH:3][cH:4][c:5]([CH2:8][C:9](=[O:10])[O:11][CH3:12])[cH:6][cH:7]1,OB(O)[c:23]1[c:22]([OH:21])[cH:27][cH:26][cH:25][cH:24]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=P([O-])([O-])[O-].[K+].[K+].[K+],CCOC(C)=O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",COCCOC,75.0,1
12,US05462954,Br[c:13]1[cH:12][c:11]([CH2:25][CH3:26])[c:10]([O:9][CH2:8][CH2:7][CH2:6][CH2:5][CH2:4][C:2]([CH3:1])([CH3:3])[C:27]#[N:28])[cH:15][c:14]1[O:16][CH2:17][c:18]1[cH:19][cH:20][cH:21][cH:22][cH:23]1,OB(O)[c:39]1[cH:38][cH:37][c:36]([F:35])[cH:41][cH:40]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCOC(C)=O.CCO,93.0,1
13,US05466692,Br[c:17]1[cH:16][cH:15][c:14]([CH2:13][NH:12][c:5]2[c:4]([C:2]([CH3:1])=[O:3])[c:9]([CH3:10])[n:8][c:7]([CH3:11])[n:6]2)[cH:19][cH:18]1,OB(O)[c:31]1[c:30](-[c:29]2[n:25]([C:21]([CH3:22])([CH3:23])[CH3:24])[n:26][n:27][n:28]2)[cH:35][cH:34][cH:33][cH:32]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.CCO.Cc1ccccc1,75.0,1
14,US05514719,Br[c:2]1[c:3]([C:4](=[O:5])[O:6][CH2:7][CH3:8])[cH:9][cH:10][c:11]([C:13]([F:14])([F:15])[F:16])[cH:12]1,OB(O)[c:21]1[cH:20][c:19]([O:18][CH3:17])[c:24]([O:25][CH3:26])[cH:23][cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.COCCOC,94.0,1
15,US05545735-US05672596,Br[c:45]1[c:44]([CH2:43][NH:42][C:40]([O:39][C:35]([CH3:36])([CH3:37])[CH3:38])=[O:41])[cH:49][cH:48][cH:47][cH:46]1,OB(O)[c:23]1[cH:22][cH:21][c:20]([CH2:19][O:18][Si:1]([c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)([c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[C:14]([CH3:15])([CH3:16])[CH3:17])[cH:25][cH:24]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"[Na+].[OH-],O=C([O-])O.[Na+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CC(C)O,100.0,1
16,US05550236,Br[c:2]1[n:3][cH:4][c:5]([Br:8])[cH:6][n:7]1,OB(O)[c:20]1[cH:19][cH:18][c:17]([O:16][CH2:15][c:9]2[cH:10][cH:11][cH:12][cH:13][cH:14]2)[cH:22][cH:21]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1.CC#N,97.0,1
17,US05569640,O=S(=O)(O[c:11]1[c:5]2[c:6]([cH:8][cH:9][cH:10]1)[O:7][C:2]([CH3:1])([CH3:21])[O:3][C:4]2=[O:20])C(F)(F)F,CC(C)OB(OC(C)C)[c:30]1[cH:31][cH:32][cH:33][cH:34][cH:35]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=P([O-])([O-])[O-].[K+].[K+].[K+],[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CN(C)C=O,57.0,1
18,US05597832,Br[c:2]1[cH:3][cH:4][c:5]([CH:7]=[O:8])[s:6]1,OB(O)[c:12]1[cH:11][c:10]([CH3:9])[cH:15][cH:14][cH:13]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.CCO.COCCOC,90.0,1
19,US05622937,Br[c:2]1[cH:3][c:4]([C:5](=[O:6])[O:7][CH3:8])[cH:9][cH:10][cH:11]1,OB(O)[c:21]1[c:20]([O:19][CH3:18])[cH:25][cH:24][cH:23][cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],CCOC(C)=O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",Cc1ccccc1,64.0,1
20,US05665777,I[c:2]1[cH:3][cH:4][c:5]([OH:8])[cH:6][cH:7]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([F:9])[cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Cs+].[Cs+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CN(C)C=O.CCOC(C)=O,46.0,1
22,US05677328,Br[c:13]1[c:14]([N+:19](=[O:20])[O-:21])[cH:15][cH:16][cH:17][cH:18]1,OB(O)[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:8][cH:7]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCO,100.0,1
23,US05700809,O=S(=O)(O[c:13]1[cH:12][cH:11][c:10]2[c:15]([cH:14]1)[CH2:16][CH2:17][N:8]([C:6]([O:5][C:1]([CH3:2])([CH3:3])[CH3:4])=[O:7])[CH2:9]2)C(F)(F)F,OB(O)[c:30]1[cH:29][cH:28][c:27]([Cl:26])[cH:32][cH:31]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1,39.0,1
24,US05739166,Br[c:2]1[c:3]([Br:8])[cH:4][cH:5][cH:6][cH:7]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([F:9])[cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.CCO.Cc1ccccc1,81.0,1
25,US05739166,Br[c:2]1[cH:3][c:4]2[c:5]([cH:9][c:10]1[Br:11])[O:6][CH2:7][O:8]2,OB(O)[c:16]1[cH:15][cH:14][c:13]([F:12])[cH:18][cH:17]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCOC(C)=O.CCO.Cc1ccccc1,71.0,1
26,US05739166,Br[c:21]1[cH:22][cH:23][c:24]([S:27](=[O:28])(=[O:29])[NH2:30])[cH:25][cH:26]1,OB(O)[c:9]1[c:8](-[c:5]2[cH:4][cH:3][c:2]([F:1])[cH:7][cH:6]2)[cH:16][c:12]2[c:11]([cH:10]1)[O:15][CH2:14][O:13]2,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.CCO.Cc1ccccc1,76.0,1
27,US05750213,Br[c:2]1[cH:3][cH:4][c:5]([OH:8])[cH:6][cH:7]1,OB(O)[c:11]1[c:10]([F:9])[c:15]([F:16])[cH:14][cH:13][cH:12]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Cs+].[Cs+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.COCCOC,75.0,1
28,US05817833,Br[c:2]1[c:3]([CH3:10])[cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9]1,OB(O)[c:14]1[cH:15][cH:16][c:17]([C:18](=[O:19])[OH:20])[cH:21][cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCOC(C)=O.COCCOC,69.0,1
29,US05817833,Br[c:2]1[cH:3][c:4]([C:5](=[O:6])[O:7][CH3:8])[cH:9][cH:10][c:11]1[CH3:12],OB(O)[c:16]1[cH:17][cH:18][c:19]([C:20](=[O:21])[OH:22])[cH:23][cH:24]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CN(C)C=O.CCOC(C)=O,85.0,1
30,US05843965,I[c:2]1[c:3]([O:11][c:12]2[cH:13][cH:14][c:15]([O:18][CH2:19][c:20]3[cH:21][cH:22][cH:23][cH:24][cH:25]3)[cH:16][cH:17]2)[c:4]2[c:5]([s:6]1)[cH:7][cH:8][cH:9][cH:10]2,OB(O)[c:30]1[cH:29][c:28]([O:27][CH3:26])[cH:33][cH:32][cH:31]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],[Na+].[OH-],O=S(=O)([O-])[O-].[Na+].[Na+]",CCOC(C)=O.Cc1ccccc1,99.0,1
31,US05847149,Br[c:13]1[s:12][c:11]([Br:10])[n:15][n:14]1,OB(O)[c:1]1[cH:2][cH:3][cH:4][cH:5][cH:6]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1,38.0,1
32,US05847149,Br[c:22]1[s:21][c:20]([Br:19])[n:24][n:23]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([O:9][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])[cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1.ClCCl,65.0,1
33,US05847149,Br[c:23]1[s:24][c:25](-[c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[n:26][n:27]1,OB(O)[c:15]1[cH:14][cH:13][c:12]([O:11][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH3:10])[n:17][c:16]1[F:18],c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1,82.0,1
34,US05849217,Br[c:22]1[cH:23][cH:24][c:25]([CH2:28][CH2:29][OH:30])[cH:26][cH:27]1,OB(O)[c:14]1[cH:13][cH:12][c:11]2[c:16]([cH:15]1)[CH2:17][CH:9]([CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH3:8])[CH2:10]2,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCO.Cc1ccccc1,68.0,1
35,US05849217,Cl[c:21]1[n:22][cH:23][c:24]([CH2:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH3:36])[cH:25][n:26]1,OB(O)[c:14]1[cH:13][cH:12][c:11]([CH2:10][CH2:9][O:8][CH2:1][c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCO.Cc1ccccc1,77.0,1
36,US05849217,Cl[c:21]1[n:22][cH:23][c:24]([O:27][CH2:28][CH2:29][CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH3:37])[cH:25][n:26]1,OB(O)[c:14]1[cH:13][cH:12][c:11]([CH2:10][CH2:9][O:8][CH2:1][c:2]2[cH:3][cH:4][cH:5][cH:6][cH:7]2)[cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",CCO.Cc1ccccc1,62.0,1
37,US05849758,Br[c:2]1[n:3][c:4]([F:9])[cH:5][c:6]([CH3:8])[cH:7]1,OB(O)[c:14]1[cH:13][cH:12][c:11]([F:10])[cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,36.1,1
38,US05902813,Br[c:13]1[cH:14][c:15]([NH2:16])[cH:17][cH:18][cH:19]1,CCB(CC)[c:4]1[cH:5][n:6][cH:7][cH:8][cH:9]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.CCO.COCCOC,87.0,1
39,US05902813,Br[c:2]1[cH:3][n:4][cH:5][n:6][cH:7]1,OB(O)[c:18]1[cH:17][cH:16][cH:15][c:14]([NH2:13])[cH:19]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])O.[Na+],O.COCCOC,93.0,1
40,US05902813,Br[c:2]1[cH:3][n:4][c:5]([N:8]([CH3:9])[CH3:10])[n:6][cH:7]1,OB(O)[c:14]1[cH:13][c:12]([NH2:11])[cH:17][cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[K+].[K+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.COCCOC,74.0,1
41,US05922724,Br[c:2]1[cH:3][n:4][c:5]([N:8]([CH3:9])[CH3:10])[n:6][cH:7]1,OB(O)[c:21]1[cH:20][cH:19][cH:18][c:17]([NH2:16])[cH:22]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=S(=O)([O-])[O-].[Na+].[Na+],O.CCOC(C)=O.COCCOC,74.0,1
42,US05922724,Br[c:8]1[cH:7][c:6]([N+:12](=[O:13])[O-:14])[c:5]([NH:4][C:1]([CH3:2])=[O:3])[cH:10][cH:9]1,OB(O)[c:17]1[cH:16][o:15][cH:19][cH:18]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+],[Na+].[OH-]",O.CCOC(C)=O.COCCOC,76.0,1
43,US05932595,Br[c:2]1[cH:3][cH:4][c:5]([O:6][c:7]2[cH:8][cH:9][c:10]([S:13](=[O:14])(=[O:15])[CH2:16][C:17]3([C:23](=[O:24])[OH:25])[CH2:18][CH2:19][O:20][CH2:21][CH2:22]3)[cH:11][cH:12]2)[cH:26][cH:27]1,OB(O)[c:29]1[s:28][cH:32][cH:31][cH:30]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",CN(C)C=O.ClCCl,94.0,1
44,US05942516,I[c:26]1[c:25]([CH2:24][O:23][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[n:30][cH:29][n:28][c:27]1[O:31][CH2:32][CH2:33][CH3:34],OB(O)[c:6]1[c:5]([O:4][CH2:3][O:2][CH3:1])[cH:10][c:9]([O:11][CH3:12])[cH:8][cH:7]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1.CO,62.0,1
45,US05962440,Br[c:2]1[n:3][cH:4][cH:5][cH:6][cH:7]1,OB(O)[c:10]1[c:9]([CH3:8])[cH:14][cH:13][cH:12][cH:11]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])O.[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.COCCOC,82.0,1
46,US05972951,Br[c:2]1[c:3]([CH3:14])[cH:4][c:5](-[c:8]2[cH:9][n:10][cH:11][n:12]2[CH3:13])[cH:6][cH:7]1,OB(O)[c:18]1[cH:19][cH:20][c:21]([C:22](=[O:23])[OH:24])[cH:25][cH:26]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=C([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O.COCCOC,34.0,1
47,US05942516,I[c:26]1[c:25]([CH2:24][O:23][CH2:16][c:17]2[cH:18][cH:19][cH:20][cH:21][cH:22]2)[n:30][cH:29][n:28][c:27]1[O:31][CH2:32][CH2:33][CH3:34],OB(O)[c:6]1[c:5]([O:4][CH2:3][O:2][CH3:1])[cH:10][c:9]([O:11][CH3:12])[cH:8][cH:7]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.Cc1ccccc1.CO,62.0,1
48,US05986096,I[c:5]1[n:4][cH:3][c:2]([Br:1])[cH:7][n:6]1,OB(O)[c:17]1[c:16]([F:15])[c:21]([F:22])[c:20]([O:23][CH2:24][CH2:25][CH2:26][CH2:27][CH2:28][CH2:29][CH2:30][CH3:31])[cH:19][cH:18]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.COCCOC,55.0,1
49,US05986096,I[c:5]1[n:4][cH:3][c:2]([Br:1])[cH:7][n:6]1,OB(O)[c:14]1[cH:13][cH:12][c:11]([C:10]([F:9])([F:20])[F:21])[cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,56.0,1
50,US05986096,I[c:5]1[n:4][cH:3][c:2]([Br:1])[cH:7][n:6]1,OB(O)[c:12]1[cH:11][c:10]([F:9])[c:15]([F:16])[cH:14][cH:13]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,75.0,1
51,US05986096,I[c:5]1[n:4][cH:3][c:2]([Br:1])[cH:7][n:6]1,OB(O)[c:14]1[cH:13][cH:12][c:11]([C:9]#[N:10])[cH:16][cH:15]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,81.0,1
52,US05986096,I[c:5]1[n:4][cH:3][c:2]([Br:1])[cH:7][n:6]1,OB(O)[c:13]1[cH:12][cH:11][c:10]([F:9])[cH:15][cH:14]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],COCCOC,94.0,1
53,US05998424,Br[c:12]1[cH:11][n:10][c:9]([N:8]([C:6]([O:5][C:1]([CH3:2])([CH3:3])[CH3:4])=[O:7])[C:16](=[O:17])[O:18][C:19]([CH3:20])([CH3:21])[CH3:22])[n:14][cH:13]1,OB(O)[c:26]1[c:25]([S:24][CH3:23])[cH:30][cH:29][cH:28][cH:27]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCOC(C)=O,96.0,1
54,US06008243,Br[c:2]1[cH:3][o:4][cH:5][cH:6]1,OB(O)[c:22]1[cH:21][cH:20][c:19](-[c:28]2[cH:29][cH:30][cH:31][cH:32][cH:33]2)[cH:24][cH:23]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Na+].[Na+]",O.CCO.ClCCl,76.0,1
55,US06017952,Br[c:2]1[c:3]([CH:11]=[O:12])[s:4][cH:5][c:6]1[CH2:7][CH2:8][CH2:9][CH3:10],OB(O)[c:27]1[c:26]([O:25][CH2:24][O:23][CH3:22])[cH:31][c:30]([O:32][CH3:33])[cH:29][cH:28]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,"O=C([O-])[O-].[Na+].[Na+],O.[Cl-].[Na+],O=S(=O)([O-])[O-].[Mg+2]",O.CCOC(C)=O.CCO.Cc1ccccc1,71.0,1
56,US06022492,Br[c:27]1[n:28][cH:29][c:30]([Br:33])[cH:31][n:32]1,OB(O)[c:11]1[cH:10][n:9][c:8]([O:7][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH3:6])[cH:13][cH:12]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1.ClCCl,40.0,1
57,US06022492,Br[c:2]1[n:3][cH:4][c:5]([Br:8])[cH:6][n:7]1,OB(O)[c:17]1[cH:16][n:15][c:14]([O:13][CH2:9][CH2:10][CH2:11][CH3:12])[cH:19][cH:18]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1,37.0,1
58,US06022492,Br[c:2]1[n:3][cH:4][c:5]([Br:8])[cH:6][n:7]1,OB(O)[c:25]1[cH:24][n:23][c:22]([O:21][CH2:9][CH2:10][CH2:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][CH2:19][CH3:20])[cH:27][cH:26]1,c1ccc(P(c2ccccc2)c2ccccc2)cc1,O=C([O-])[O-].[Na+].[Na+],O.CCO.Cc1ccccc1,35.0,1
